timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13007;9
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13007;8
200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13007;9
300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13007;8
400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13007;10
600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13008;11
700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13008;9
800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13008;8
900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13008;4
1500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10007;4
5000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12999;4
7600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10007;5
9100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10006;1
9100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10006;4
9400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10006;10
10700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;5
11000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10007;5
15500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;10
22300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10001;4
23200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10001;7
24400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10001;9
26800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;8
28000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;4
32800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;9
37800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;8
41800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;5
44200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;8
46500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;9
49400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;9
58100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10002;9
60300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10004;9
80300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;4
80400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10005;8
87800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;5
89700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;9
93000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;8
97900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;6
98700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;4
